item_id;vectors
0;-0.0191825|0.205563|-0.013544598|0.11440095|-0.46409208|0.14579491|0.31156984|-0.19079866|0.14319812|0.03630489|0.27292266|0.4362049|0.010253054|0.24058574|-0.2714504|0.2553319|-0.16282432|0.45839033|0.053145133|0.27693656|-0.11513847|-0.17505334|0.00903024|-0.0020111098|0.112278566|0.14841521|0.033030022|0.16942108|-0.3382355|0.008656915|-0.12036366|-0.052127548|0.091241956|0.11525303|-0.032845456|-0.3050949|-0.08542717|-0.12306484|0.20834343|0.3253668|-0.2070929|0.23248701|0.15366277|0.0208158|-0.054393288|0.21882133|0.12617344|0.047911923|0.25689843|-0.18118465|-0.04493011|-0.12588637|-0.035785966|-0.020309577|0.0559726|-0.11534559|-0.15341543|0.38543183|-0.27934757|0.24370709|0.26275346|-0.312006|-0.2825382|0.115783155|-0.051628232|-0.3605332|-0.0077713295|0.117442116|0.33809653|0.007984281|0.014044616|0.33878925|-0.16780198|-0.36839232|-0.26301074|-0.10410883|-0.19113277|-0.32965377|0.07990249|0.1337091|0.03130043|-0.4258183|0.2937468|0.06157574|0.088621505|0.015799662|0.016060455|-0.18791485|-0.022942506|-0.19174568|0.34901524|0.05507219|-0.214045|-0.08936045|0.012256063|0.18046755|-0.15191987|0.54718995|-0.00905179|-0.3285862
1;0.026977293|-0.010994974|0.09828533|0.058945782|-0.10802638|0.1654709|-0.0070327744|0.17384435|-0.054416563|-0.07382717|-0.031921715|0.1781722|0.074221246|0.08467705|0.014509311|-0.09315771|0.024584472|-0.08105808|-0.0509122|-0.009141824|0.027983861|0.0016649195|0.11788766|0.052144803|-0.0069268527|-0.1658457|0.0043904893|-0.096280575|-0.0059342114|-0.13168114|-0.0834607|-0.064859025|0.037015934|0.03183658|0.021389259|0.02866331|-0.034879446|0.09996762|0.11239661|-0.038183406|-0.04434164|0.05914225|-0.054050226|-0.05708323|-0.064664766|0.12123638|0.05500662|0.11583496|-0.049961407|-0.055565104|0.08262674|0.033269748|-0.020639805|-0.039533593|-0.119950116|0.036799815|-0.07267028|0.0030825941|0.08383861|-0.06656383|-0.027647616|-0.072845176|0.10467393|0.008187535|-0.044001736|-0.074146576|-0.080983594|0.1415752|-0.05390039|-0.04727647|-0.004006771|-0.17250364|-0.0024231973|0.021680439|0.026907977|0.06663073|0.0029376561|-0.04837562|0.028231941|-0.05515988|0.041049|0.107737586|-0.1832187|0.02845669|0.13490118|0.104606405|0.050160084|-0.06755082|-0.0999245|-0.10455224|-0.08817218|0.05478082|0.052530397|-0.022855394|0.062070772|0.036723047|0.056163736|-0.15717341|0.15201627|0.08636746
2;-0.20916945|0.00064937375|-0.08595634|0.1010196|0.121121325|0.05166651|-0.04952821|-0.17330396|0.08895639|-0.048646957|-0.060400344|-0.063942075|0.15034747|0.14328703|-0.02803538|0.0993477|0.09472814|-0.05668387|0.059733056|0.049975585|-0.034845978|0.2042205|-0.12842292|-0.12759651|-0.12203186|-0.025101416|0.047754355|0.16098234|0.05484551|0.03852914|-0.05653222|-0.15045139|0.07118043|0.09416093|0.038772527|0.104793556|0.0026220512|0.025110988|-0.06517849|0.0020127352|0.10241436|0.17839025|-0.08352884|0.029986328|-0.09415977|-0.06294373|-0.12189821|-0.04813056|0.007938124|-0.10163196|0.009913282|0.0035473695|-0.06112568|0.09985103|-0.08796011|-0.014276251|-0.05555266|0.0021092414|0.023696894|0.04095962|-0.10910972|0.11480346|-0.16552188|0.171143|-0.031962734|0.052097842|-0.0010635023|-0.017912282|0.020897146|0.086891524|-0.010358474|-0.009394342|0.012892629|0.18867792|-0.036781397|-0.013885263|0.13287781|-0.010172274|-0.062800094|-0.0656619|-0.018054722|0.1099732|-0.052562132|0.030597856|-0.12182197|-0.07385797|-0.05207377|-0.075811684|-0.1045544|0.015457803|-0.030787544|-0.04707671|0.018179866|0.03434473|-0.14229089|-0.092059076|-0.039726943|0.03160632|0.024607219|0.07560595
3;0.0059041083|0.009360041|0.0064213336|0.08467351|0.06839912|-0.054924082|-0.018890899|-0.040888403|0.048177995|0.04991412|0.04692313|0.06529099|-0.06823134|-0.10982441|0.05751973|-0.032607768|-0.0186642|-0.20032796|-0.03186407|-0.08142983|0.18200222|0.0319578|-0.10555911|0.071030244|-0.1946546|-0.017956043|0.033161018|0.097410776|0.07731993|-0.15900286|-0.0109329475|0.049469274|-0.07804121|-0.007655767|-0.07236912|-0.019650377|-0.025221113|-0.09545324|-0.012328436|0.031168643|-0.05182882|0.08121448|0.011094596|0.15355541|-0.16126445|0.025351617|0.016865838|-0.044559576|-0.030606546|0.013223583|-0.017843582|-0.09972057|0.06339243|0.042996522|-0.028252441|-0.07773302|0.008531771|0.06664815|0.013175466|0.11332159|0.046899084|-0.07636115|-0.14711122|-0.010378187|0.07290846|-0.06049698|0.052747864|-0.05592567|0.030247113|0.11794624|-0.08743644|-0.0016346435|0.08926371|-0.12234282|0.12915169|0.11815376|-0.033459634|-0.043516606|-0.10700767|0.16120568|0.0049760304|0.13150632|-0.13109109|0.03801609|-0.018947203|0.0024825183|-0.07172959|0.12466634|0.08546926|-0.020283854|0.0043487465|-0.19887367|0.078555144|-0.030632678|0.13430926|-0.018701188|-0.0010979415|-0.0073886104|-0.010177129|0.10065143
4;-0.03308695|0.08071054|0.11380935|0.08799236|0.14855306|-0.12716101|0.20771384|0.017930288|-0.29625005|-0.1532501|0.022409713|-0.08995684|-0.039645016|-0.06327465|-0.14368841|0.089728974|-0.058732733|0.030486612|-0.0045198514|0.33313075|0.03822954|-0.053701688|0.04329011|-0.051208753|0.09769307|0.08200149|-0.09959594|-0.050602484|0.082534455|0.06967247|-0.046055336|-0.22801296|0.015452691|0.07860716|0.16718373|0.16073677|-0.06335276|-0.06537586|0.0064591123|-0.09449659|0.053026106|-0.01819782|0.009594097|0.110668324|0.10095214|-0.14672472|-0.07840519|-0.08769641|0.03130212|0.16342394|0.008931579|0.013017031|0.05794171|-0.0053481366|0.065815195|0.12252317|0.10517657|-0.03145594|-0.014573332|-0.13349621|-0.07578601|0.0040263957|0.025602538|0.24747953|0.05377429|0.015490389|0.07842105|-0.1350698|0.050410725|0.06307019|0.023292053|-0.032767195|-0.059621062|-0.11449392|-0.02576062|-0.00090620446|0.0476407|-0.21312915|0.04455282|0.032764558|-0.0927831|0.06509701|-0.083793975|0.15245037|-0.10576993|-0.028165407|-0.07246269|-0.11950544|0.0995273|0.13825423|0.031247763|0.017129408|0.09706993|-0.02001894|-0.078618355|-0.041202866|-0.0076159444|0.065703705|0.011343471|0.0076757213
5;-0.053692803|0.13125531|-0.038834754|0.09404863|-0.064946465|0.03169867|0.035790157|-0.07236771|0.045313228|-0.059622247|-0.03200343|-0.00081924227|0.042564966|-0.014786523|-0.3278832|-0.0048743873|-0.12083919|0.096728995|0.009626174|-0.038913958|-0.01075678|-0.081296116|-0.06252676|-0.12502351|-0.010538204|-0.00077068125|0.12122447|0.09831253|-0.07038015|0.0381482|-0.18908751|0.1117376|0.07773831|0.10600256|-0.004502367|0.26261866|-0.03993042|0.078936696|0.033996556|-0.0095110545|0.000755094|-0.11084443|0.059017446|-0.119163565|-0.0005116485|-0.036742143|-0.15807472|-0.17737116|0.07460839|0.12412612|0.14398095|-0.008219199|0.0728256|0.13450703|0.07197558|-0.043168467|-0.048762485|0.011625764|-0.017841544|0.00785387|-0.09499907|0.015600582|0.149941|-0.023284288|-0.024381757|-0.016179418|-0.023808781|-0.13494168|-0.022313112|-0.116279766|0.052171424|-0.056637388|0.089513026|0.08396835|0.14128639|0.012251295|0.057397984|0.28631422|-0.095444396|-0.08655862|0.08210534|0.14446662|0.1190321|0.12444163|-0.0440322|-0.08625576|-0.10725027|-0.05270276|0.13152033|0.12340056|0.05872206|0.088142484|0.07316079|0.03650252|0.022300968|0.2781511|-0.16004926|0.10462497|-0.08611898|-0.17172162
6;0.24330257|-0.3260679|0.16987568|-0.30915773|-0.09160298|-0.0058328565|0.024501063|-0.2100717|-0.08330127|-0.15610507|-0.36005998|0.27904555|0.21574222|-0.0441356|-0.1380794|-0.020970078|0.055704355|0.06846902|-0.097152375|-0.06370073|-0.12182581|0.12093382|-0.19614536|0.3551414|0.18095376|0.25943196|-0.03255105|0.23127571|-0.0066614263|0.43585458|-0.05757869|-0.16329537|-0.23568924|-0.18653005|-0.11965323|-0.0726974|-0.5811341|-0.13498385|-0.2953002|-0.13941136|0.43366784|0.18564692|-0.17490833|0.17861748|-0.24375477|-0.18027924|0.055598345|-0.087599225|-0.26791245|-0.26099262|-0.26876402|0.2448589|-0.030664455|-0.112842865|-0.17034268|-0.25609842|-0.22175679|0.20721789|-0.28891686|-0.11580424|0.02623067|0.1875824|-0.12212673|-0.1509497|0.24089473|-0.08102034|-0.056894265|-0.13845243|0.12531896|0.10491098|0.20265236|-0.05968993|0.13916388|0.19984655|-0.17599829|0.29328868|0.091349736|-0.38809636|0.16795754|-0.25515467|-0.060081214|-0.14754322|-0.12810355|0.23710293|0.14520125|-0.102856986|-0.13114429|0.27245277|-0.02110983|0.38816524|0.26512498|0.042090315|0.18597645|-0.35384968|0.10411188|-0.55714387|0.0892744|0.0293052|0.051598717|-0.10319694
7;-0.03916881|-0.03956971|-0.07212593|-0.02089996|-0.036866598|-0.13864306|0.0921728|0.028720912|-0.1006089|-0.055823106|-0.14426696|-0.078661844|-0.022202093|0.023743043|0.030265484|0.011353949|-0.049490776|-0.12620921|-0.08050991|0.05038132|0.07765182|-0.02034243|0.08701496|-0.22280994|0.0028201863|0.039730556|0.08404605|0.018445473|0.027004689|-0.018842712|-0.055774666|0.057728656|0.06793171|-0.049586326|-0.0010737121|0.12004974|0.055224378|0.050918207|-0.06374978|-0.04960639|-0.011966237|0.07944609|-0.077684|0.061739396|0.11818019|0.10289214|0.029341666|-0.048228573|0.12248481|-0.040181298|-0.14379124|0.04028015|-0.12570696|-0.115733266|0.058946732|-0.023169393|0.009437031|0.028417006|0.09492892|-0.032047804|0.111857414|0.25220227|-0.048122913|0.09420333|-0.034113403|0.04765389|-0.11135753|-0.06366452|0.109807074|-0.13836178|0.08374725|0.17419688|-0.047926124|-0.021706887|-0.10539272|0.04590443|0.08516625|-0.08954644|-0.00993462|-0.23101176|0.16621041|-0.0064242124|-0.14641485|0.080764316|-0.019337097|-0.08163943|-0.14186771|-0.007891353|-0.07299659|0.00996249|-0.24006955|-0.08100869|0.0895634|-0.026280683|0.014417736|-0.060303543|0.01634837|-0.027081646|-0.12788999|-0.11001736
8;-0.0010411234|-0.09218554|-0.08929279|-0.01464972|0.15118866|0.02909739|-0.1544091|-0.13217887|-0.09749405|0.2250503|-0.077945374|-0.39597353|-0.0365254|0.19389409|-0.015484881|0.01831288|-0.06811486|0.17753479|-0.052337658|-0.14746444|-0.058241576|-0.05857067|-0.005353547|-0.023845635|0.12154072|0.13670397|0.16775693|0.21014442|0.10274725|-0.3231211|-0.09468673|-0.19151981|-0.22694576|0.16592547|0.038272597|0.26849997|0.25803733|0.098970175|-0.19695678|-0.22007143|-0.22512102|0.12639508|0.012594355|-0.1386987|0.053605113|-0.0060049575|-0.09491524|-0.14589833|-0.029951707|-0.1653065|0.25234383|-0.46717402|0.03414212|-0.27466488|-0.1538013|-0.06651698|-0.2979835|0.11519668|-0.08697813|-0.12963562|-0.16169794|-0.18667518|0.013238068|-0.08694754|0.06438945|-0.017055057|0.2277055|0.102489844|-0.25255328|0.092284665|0.02069159|0.09552582|0.25942045|0.019694319|0.10948524|-0.12474955|0.19412832|-0.022144523|-0.04459332|0.32734734|0.13262564|-0.12760447|0.121777415|-0.013396962|-0.085102126|0.06659303|0.049752302|0.049800567|-0.14761949|-0.15086944|0.14987671|0.04756734|0.18550669|0.11898071|0.049704354|-0.19395298|0.10124468|-0.35560772|-0.05392017|0.27260754
9;-0.086474866|-0.04371546|-0.067765325|0.017635787|0.12063569|0.18696354|-0.06636248|-0.010846306|0.042409785|-0.034798138|-0.050253537|-0.09087741|-0.0038912876|0.0050576604|0.15533395|-0.014281074|-0.003928604|0.088889904|0.06396074|0.052639272|0.0008560995|0.009919319|-0.0915623|-0.17823687|0.049595796|-0.1128257|0.0011715337|0.0763642|0.11313019|0.028529022|0.06894363|0.05737918|-0.036102932|-0.14861849|-0.10497502|-0.012479661|0.09611697|-0.03693423|0.077891365|0.058948632|0.0028692777|-0.13053937|-0.026787419|0.0730099|-0.09396444|0.04621085|0.13147154|-0.08524463|-0.022744814|0.21526055|-0.04013775|-0.2882601|0.073684305|-0.12802462|-0.116729505|0.04325886|-0.03890029|-0.11228764|0.14485118|0.14526457|0.00080076227|0.0876148|0.12473816|-0.20880322|-0.09686277|0.025351824|-0.016492821|0.121523954|0.033273064|-0.14830999|-0.09528499|0.08858493|-0.03541801|-0.06263625|-0.17550647|-0.04991747|0.047534257|0.0060221865|0.09891713|-0.16061823|0.09845188|0.012035743|-0.19904155|-0.008816853|0.04419753|-0.029505404|0.045778755|-0.09116392|-0.0035228203|-0.057642285|-0.0516622|0.11697135|0.06704833|0.2080576|0.022355763|0.14998944|-0.0019899893|-0.028571982|-0.09682809|0.1483465
